File Version;BWSpec4.02_14
Date;2020-06-04 11:45:00
title;BWS415-785S-PRB
model;BTC162-785S-SYS
c code;ORX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;3
bkcolor;16777215
show_mode;3
data_mode;0
pixel_mode;0
intigration times(ms);1000
average number;1
time_multiply;1
spectrometer_type ;14
yaxis;1
yaxis_min;-128
yaxis_max;60000
xaxis;1
xaxis_min;204
xaxis_max;2047
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;0
irradiance_unit;0
Color_Data_Flag;0
Color_StartWL;770
Color_EndWL;770
Color_IncWL;10
power_unit_index;3
photometric_index;0
Illuminant_index;3
observer_index;0
lab_l;0
lab_a;0
lab_b;0
radiometric_flag;0
coefs_a0;769,425552688777
coefs_a1;0,153008995292799
coefs_a2;-4,59156988979995E-06
coefs_a3;-6,53524460424591E-10
coefs_b0;-5863,28138644893
coefs_b1;10,5221106288986
coefs_b2;-0,00615548365754513
coefs_b3;3,09832302014358E-06
all_data_save;1
select_option;-1
interval_time;1000
pixel_num;2048
sel_pixel_start;2016
sel_pixel_end;0
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;1
vertical_line4_wv;1
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;784,87
laser_powerlevel;10
overlay_js;0
Relative Intensity Correction Flag;0
99;   ;   ;   ;882,0000;65535,0000;1184,0000;302,0000;0,0000;0,0000;0,0000;
100;   ;   ;   ;911,0000;65535,0000;1191,0000;280,0000;0,0000;0,0000;0,0000;
101;   ;   ;   ;927,0000;65535,0000;1104,0000;177,0000;0,0000;0,0000;0,0000;
102;   ;   ;   ;831,0000;65535,0000;897,0000;66,0000;0,0000;0,0000;0,0000;
103;   ;   ;   ;829,0000;65535,0000;914,0000;85,0000;0,0000;0,0000;0,0000;
104;   ;   ;   ;811,0000;65535,0000;916,0000;105,0000;0,0000;0,0000;0,0000;
105;   ;   ;   ;859,0000;65535,0000;902,0000;43,0000;0,0000;0,0000;0,0000;
106;   ;   ;   ;867,0000;65535,0000;863,0000;-4,0000;0,0000;0,0000;0,0000;
107;   ;   ;   ;833,0000;65535,0000;912,0000;79,0000;0,0000;0,0000;0,0000;
108;   ;   ;   ;822,0000;65535,0000;917,0000;95,0000;0,0000;0,0000;0,0000;
109;   ;   ;   ;821,0000;65535,0000;924,0000;103,0000;0,0000;0,0000;0,0000;
110;   ;   ;   ;920,0000;65535,0000;833,0000;-87,0000;0,0000;0,0000;0,0000;
111;   ;   ;   ;849,0000;65535,0000;830,0000;-19,0000;0,0000;0,0000;0,0000;
112;   ;   ;   ;837,0000;65535,0000;905,0000;68,0000;0,0000;0,0000;0,0000;
113;   ;   ;   ;770,0000;65535,0000;889,0000;119,0000;0,0000;0,0000;0,0000;
114;   ;   ;   ;878,0000;65535,0000;755,0000;-123,0000;0,0000;0,0000;0,0000;
115;   ;   ;   ;890,0000;65535,0000;895,0000;5,0000;0,0000;0,0000;0,0000;
116;   ;   ;   ;896,0000;65535,0000;881,0000;-15,0000;0,0000;0,0000;0,0000;
117;   ;   ;   ;933,0000;65535,0000;871,0000;-62,0000;0,0000;0,0000;0,0000;
118;   ;   ;   ;954,0000;65535,0000;900,0000;-54,0000;0,0000;0,0000;0,0000;
119;   ;   ;   ;861,0000;65535,0000;861,0000;0,0000;0,0000;0,0000;0,0000;
120;   ;   ;   ;882,0000;65535,0000;826,0000;-56,0000;0,0000;0,0000;0,0000;
121;   ;   ;   ;933,0000;65535,0000;949,0000;16,0000;0,0000;0,0000;0,0000;
122;   ;   ;   ;858,0000;65535,0000;952,0000;94,0000;0,0000;0,0000;0,0000;
123;   ;   ;   ;747,0000;65535,0000;925,0000;178,0000;0,0000;0,0000;0,0000;
124;   ;   ;   ;875,0000;65535,0000;930,0000;55,0000;0,0000;0,0000;0,0000;
125;   ;   ;   ;913,0000;65535,0000;827,0000;-86,0000;0,0000;0,0000;0,0000;
126;   ;   ;   ;937,0000;65535,0000;840,0000;-97,0000;0,0000;0,0000;0,0000;
127;   ;   ;   ;854,0000;65535,0000;879,0000;25,0000;0,0000;0,0000;0,0000;
128;   ;   ;   ;820,0000;65535,0000;841,0000;21,0000;0,0000;0,0000;0,0000;
129;   ;   ;   ;827,0000;65535,0000;880,0000;53,0000;0,0000;0,0000;0,0000;
130;   ;   ;   ;902,0000;65535,0000;850,0000;-52,0000;0,0000;0,0000;0,0000;
131;   ;   ;   ;899,0000;65535,0000;1041,0000;142,0000;0,0000;0,0000;0,0000;
132;   ;   ;   ;927,0000;65535,0000;922,0000;-5,0000;0,0000;0,0000;0,0000;
133;   ;   ;   ;954,0000;65535,0000;888,0000;-66,0000;0,0000;0,0000;0,0000;
134;   ;   ;   ;808,0000;65535,0000;919,0000;111,0000;0,0000;0,0000;0,0000;
135;   ;   ;   ;820,0000;65535,0000;899,0000;79,0000;0,0000;0,0000;0,0000;
136;   ;   ;   ;838,0000;65535,0000;889,0000;51,0000;0,0000;0,0000;0,0000;
137;   ;   ;   ;886,0000;65535,0000;925,0000;39,0000;0,0000;0,0000;0,0000;
138;   ;   ;   ;791,0000;65535,0000;919,0000;128,0000;0,0000;0,0000;0,0000;
139;   ;   ;   ;870,0000;65535,0000;824,0000;-46,0000;0,0000;0,0000;0,0000;
140;   ;   ;   ;886,0000;65535,0000;952,0000;66,0000;0,0000;0,0000;0,0000;
141;   ;   ;   ;913,0000;65535,0000;964,0000;51,0000;0,0000;0,0000;0,0000;
142;   ;   ;   ;932,0000;65535,0000;1009,0000;77,0000;0,0000;0,0000;0,0000;
143;   ;   ;   ;913,0000;65535,0000;915,0000;2,0000;0,0000;0,0000;0,0000;
