ENLIGHTEN Version,2.2.7
Measurement ID,20201009-093810-270034-WP-00702
Serial Number,WP-00702
Model,WP-785-C2-LMMFC
Label,09:38:10 WP-00702
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,1000
Timestamp,2020-10-09 09:38:10.270034
Note,
Temperature,-14.52968311496079
CCD C0,790.7625122070312
CCD C1,0.28129664063453674
CCD C2,1.8011121937888674e-05
CCD C3,-2.512435592905149e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.051
Laser Enable,True
Laser Power,50.0
Laser Temperature,-95.6635622537485
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark,Reference
520,938.37,2081.30,4174.60,4174.60,,
521,938.65,2084.47,4155.30,4155.30,,
522,938.93,2087.64,4119.20,4119.20,,
523,939.21,2090.81,4098.00,4098.00,,
524,939.49,2093.98,4078.00,4078.00,,
525,939.77,2097.15,4056.30,4056.30,,
526,940.05,2100.31,4022.10,4022.10,,
527,940.33,2103.47,3983.00,3983.00,,
528,940.61,2106.63,3965.00,3965.00,,
529,940.89,2109.78,3933.60,3933.60,,
530,941.17,2112.94,3913.30,3913.30,,
531,941.45,2116.09,3876.50,3876.50,,
532,941.73,2119.24,3857.60,3857.60,,
533,942.01,2122.38,3826.10,3826.10,,
534,942.29,2125.53,3798.00,3798.00,,
535,942.56,2128.67,3782.20,3782.20,,
536,942.84,2131.81,3751.60,3751.60,,
537,943.12,2134.94,3732.30,3732.30,,
538,943.40,2138.08,3723.20,3723.20,,
539,943.68,2141.21,3696.40,3696.40,,
540,943.96,2144.34,3673.10,3673.10,,
541,944.24,2147.47,3646.20,3646.20,,
